borough,date,count
MANHATTAN,2018-05-14,90
BROOKLYN,2018-06-05,39
MANHATTAN,2018-06-11,67
BROOKLYN,2018-06-13,66
QUEENS,2018-03-17,42
BRONX,2018-05-03,47
QUEENS,2018-06-03,23
STATEN ISLAND,2018-06-06,4
BRONX,2018-06-12,50
QUEENS,2018-07-01,27
QUEENS,2018-07-24,16
QUEENS,2018-08-15,22
QUEENS,2018-09-04,26
BROOKLYN,2018-12-01,46
BRONX,2019-01-18,30
BRONX,2019-01-29,28
BROOKLYN,2019-03-26,90
STATEN ISLAND,2019-03-26,18
STATEN ISLAND,2019-06-19,36
STATEN ISLAND,2019-08-17,1
BROOKLYN,2019-09-13,32
BROOKLYN,2019-10-04,21
BRONX,2019-10-16,35
STATEN ISLAND,2019-11-13,1
STATEN ISLAND,2018-11-02,9
BROOKLYN,2019-02-19,49
QUEENS,2019-03-10,15
QUEENS,2019-03-14,19
BROOKLYN,2019-11-01,30
QUEENS,2018-01-04,11
BRONX,2018-01-13,61
QUEENS,2018-03-03,60
QUEENS,2018-05-26,39
MANHATTAN,2018-06-04,59
BROOKLYN,2018-01-08,41
BRONX,2018-03-17,35
STATEN ISLAND,2018-04-09,3
QUEENS,2018-06-12,21
BROOKLYN,2018-08-19,65
QUEENS,2018-10-11,64
BRONX,2018-10-24,14
BROOKLYN,2019-01-23,89
QUEENS,2019-04-17,20
STATEN ISLAND,2019-05-13,1
QUEENS,2019-05-14,23
BRONX,2019-06-25,27
QUEENS,2019-07-03,41
BRONX,2019-07-16,31
BROOKLYN,2019-09-09,23
QUEENS,2019-09-17,38
STATEN ISLAND,2019-12-11,4
BROOKLYN,2018-09-15,41
STATEN ISLAND,2019-01-31,4
STATEN ISLAND,2019-02-06,4
MANHATTAN,2019-03-07,40
BROOKLYN,2019-03-11,27
STATEN ISLAND,2019-03-16,27
MANHATTAN,2019-05-05,13
MANHATTAN,2019-05-11,29
STATEN ISLAND,2019-06-18,6
QUEENS,2019-08-22,11
BROOKLYN,2019-08-31,35
BRONX,2019-09-05,24
MANHATTAN,2019-12-17,113
BROOKLYN,2018-04-17,24
BROOKLYN,2018-04-18,103
QUEENS,2018-06-29,25
STATEN ISLAND,2018-06-29,10
MANHATTAN,2018-01-05,15
QUEENS,2018-03-22,22
MANHATTAN,2018-03-29,116
QUEENS,2018-04-02,10
QUEENS,2018-04-17,131
STATEN ISLAND,2018-04-30,2
BROOKLYN,2018-09-10,24
BRONX,2018-09-23,39
STATEN ISLAND,2018-12-02,6
QUEENS,2018-12-30,14
BRONX,2019-01-07,53
BRONX,2019-04-05,12
QUEENS,2019-04-13,29
MANHATTAN,2019-04-18,209
BRONX,2019-06-11,40
QUEENS,2019-08-30,19
BRONX,2019-09-10,25
MANHATTAN,2019-10-21,46
STATEN ISLAND,2018-08-16,12
STATEN ISLAND,2018-09-24,1
BRONX,2018-11-05,31
BRONX,2018-11-11,29
BRONX,2019-01-27,30
BRONX,2019-03-18,20
QUEENS,2019-04-07,21
BROOKLYN,2019-04-10,118
STATEN ISLAND,2019-05-24,7
BROOKLYN,2019-10-28,22
QUEENS,2018-01-29,21
MANHATTAN,2018-03-31,21
STATEN ISLAND,2018-05-26,10
BROOKLYN,2018-07-17,35
MANHATTAN,2018-01-24,71
QUEENS,2018-05-23,11
MANHATTAN,2018-07-31,22
MANHATTAN,2018-08-29,45
MANHATTAN,2019-02-17,23
QUEENS,2019-02-27,23
BROOKLYN,2019-03-10,32
STATEN ISLAND,2019-03-11,6
BRONX,2019-03-24,27
BROOKLYN,2019-04-06,41
MANHATTAN,2019-04-25,27
BRONX,2019-05-01,33
BRONX,2019-05-25,55
MANHATTAN,2019-07-16,70
QUEENS,2019-08-25,2
STATEN ISLAND,2019-09-10,26
BRONX,2019-10-15,33
BROOKLYN,2019-11-22,89
BROOKLYN,2018-03-01,68
QUEENS,2018-04-28,26
STATEN ISLAND,2018-05-29,7
BRONX,2018-07-19,65
STATEN ISLAND,2018-09-19,3
BRONX,2018-11-21,30
STATEN ISLAND,2019-01-11,5
QUEENS,2019-01-14,9
STATEN ISLAND,2019-05-26,13
BRONX,2019-05-28,122
BROOKLYN,2019-07-01,43
MANHATTAN,2019-07-22,58
STATEN ISLAND,2018-10-20,4
MANHATTAN,2019-01-10,88
BROOKLYN,2019-01-25,48
STATEN ISLAND,2019-02-20,2
QUEENS,2019-06-15,19
MANHATTAN,2019-06-26,53
STATEN ISLAND,2019-08-12,2
STATEN ISLAND,2019-10-05,5
QUEENS,2019-10-06,60
QUEENS,2019-10-07,7
BROOKLYN,2019-11-10,49
STATEN ISLAND,2018-01-01,1
BRONX,2018-01-04,21
STATEN ISLAND,2018-02-22,2
STATEN ISLAND,2018-03-01,29
BROOKLYN,2018-03-18,44
BROOKLYN,2018-03-19,39
QUEENS,2018-05-14,24
STATEN ISLAND,2018-01-21,14
QUEENS,2018-04-06,34
MANHATTAN,2018-04-12,100
MANHATTAN,2018-04-26,248
MANHATTAN,2018-06-23,43
BRONX,2018-10-08,23
MANHATTAN,2018-11-29,57
BRONX,2018-12-13,31
BRONX,2019-02-11,31
BROOKLYN,2019-02-15,90
BRONX,2019-04-10,37
STATEN ISLAND,2019-05-10,1
MANHATTAN,2019-06-22,18
MANHATTAN,2019-07-31,88
MANHATTAN,2018-08-31,42
BROOKLYN,2018-09-23,35
BRONX,2018-12-03,31
MANHATTAN,2018-12-26,29
STATEN ISLAND,2019-01-17,8
BRONX,2019-01-30,31
BROOKLYN,2019-03-27,115
BROOKLYN,2019-04-29,90
QUEENS,2019-07-26,56
STATEN ISLAND,2019-08-22,2
MANHATTAN,2019-10-05,27
MANHATTAN,2018-01-17,55
BRONX,2018-03-15,52
BROOKLYN,2018-04-28,75
MANHATTAN,2018-05-04,70
BRONX,2018-07-04,44
STATEN ISLAND,2018-02-17,4
BRONX,2018-05-01,46
BRONX,2018-05-14,40
BROOKLYN,2018-05-28,47
QUEENS,2018-07-18,47
STATEN ISLAND,2018-08-06,4
MANHATTAN,2018-08-24,51
STATEN ISLAND,2018-09-02,15
BRONX,2018-10-28,67
STATEN ISLAND,2018-11-05,6
BRONX,2019-01-05,31
MANHATTAN,2019-02-16,43
STATEN ISLAND,2019-03-02,8
QUEENS,2019-04-02,30
BROOKLYN,2019-04-19,25
QUEENS,2019-11-19,106
STATEN ISLAND,2018-10-19,14
BROOKLYN,2019-02-06,52
BRONX,2019-02-15,45
STATEN ISLAND,2019-03-24,5
STATEN ISLAND,2019-08-09,2
STATEN ISLAND,2019-10-04,10
MANHATTAN,2019-10-09,139
BROOKLYN,2019-11-07,29
BROOKLYN,2019-12-12,14
MANHATTAN,2019-12-19,110
QUEENS,2018-01-10,35
BRONX,2018-01-24,40
STATEN ISLAND,2018-01-28,4
BROOKLYN,2018-02-24,130
BROOKLYN,2018-05-05,71
QUEENS,2018-05-25,40
BROOKLYN,2018-02-01,126
QUEENS,2018-03-01,44
BRONX,2018-03-18,80
STATEN ISLAND,2018-06-19,4
STATEN ISLAND,2018-06-21,35
BROOKLYN,2018-10-05,46
BRONX,2018-11-01,67
STATEN ISLAND,2018-12-19,10
QUEENS,2019-01-12,28
STATEN ISLAND,2019-02-02,3
STATEN ISLAND,2019-02-14,21
BRONX,2019-03-12,19
MANHATTAN,2019-03-23,24
MANHATTAN,2019-05-06,111
QUEENS,2019-05-11,11
QUEENS,2019-07-02,16
BROOKLYN,2019-07-25,37
QUEENS,2019-09-18,32
